system	micro-p	micro-p-left	micro-p-right	micro-r	micro-r-left	micro-r-right	micro-f1	micro-f1-left	micro-f1-right	macro-p	macro-p-left	macro-p-right	macro-r	macro-r-left	macro-r-right	macro-f1	macro-f1-left	macro-f1-right
SF_StaRAI20152	0.0745051876843	0.0401423357664	0.115791078306	0.0169500622511	0.00839401010157	0.0272040880639	0.0274604305308	0.0139609975008	0.0428435804702	0.0218457237995	0.00956887486856	0.0365404837014	0.0181196635121	0.00893796004206	0.0294426919033	0.0162426168364	0.0079409024204	0.026194176486
KB_ICTCAS_OKN4	0.674075623788	0.25	1.0	0.00451078402432	0.000997954290622	0.0095329858721	0.00894857095698	0.00199193286496	0.0188147386682	0.0110293375394	0.00157728706625	0.0236593059937	0.00567282559712	0.000450653447499	0.013519603425	0.00602933753943	0.000788643533123	0.0128811777077
SF_CIS3	0.292792095738	0.256756150226	0.333721172769	0.299249731752	0.256106840273	0.346058426307	0.29539840897	0.263392802299	0.328428487345	0.31930096489	0.276202763582	0.36139794478	0.376706679638	0.329526794762	0.423199409012	0.312734127236	0.273196701734	0.351980906341
KB_hltcoe1	0.485632756318	0.423726224585	0.549327503737	0.241258449998	0.199051703932	0.284535478616	0.321860025792	0.276206120046	0.368272702977	0.262332099289	0.219307145007	0.305719521328	0.245420092508	0.203690662802	0.287170105674	0.235465562516	0.196343780514	0.274210217901
SF_BUPT_PRIS2	0.154014562874	0.126313632442	0.18238097156	0.1071883374	0.0817397750639	0.135309779925	0.126115728278	0.101035938142	0.152801564246	0.112333152321	0.0857351284362	0.139516204747	0.151267120768	0.116666447115	0.186931950661	0.113329068492	0.0877514317454	0.140054277187
KB_UMass_IESL1	0.277698804592	0.202458903128	0.370009259259	0.208634277738	0.177188395308	0.241703122152	0.236599930495	0.198225690479	0.276511143092	0.233523714183	0.192053424855	0.276466170802	0.228148136042	0.188136137135	0.268685375424	0.207033241027	0.1704235842	0.244751558192
KB_NYU5	0.542520522235	0.479870536036	0.608541217925	0.192195825056	0.156995572474	0.228542620771	0.283309540232	0.241286437721	0.326333794372	0.243111599319	0.201786715738	0.287032760002	0.213104656691	0.174192860898	0.253529990256	0.208476413361	0.17188222331	0.247492161305
KB_Stanford2	0.374163140145	0.308581737426	0.442212009898	0.343518874509	0.292252542047	0.395755416154	0.35704628935	0.313435845713	0.401915966286	0.333212965056	0.29082275466	0.379153862777	0.36655682572	0.322074362427	0.413732355254	0.323527728786	0.283092040126	0.366552382165
KB_BBN4	0.387358873082	0.331389125393	0.448349566574	0.421525394138	0.361959615424	0.480918070389	0.402663558924	0.357614403441	0.443954836607	0.377946366706	0.331803649039	0.425065145092	0.384363981604	0.337364053853	0.431940852169	0.352219902071	0.310266081697	0.3962325247
LDC	0.870433037278	0.829478068684	0.907515665226	0.341441584245	0.281189386093	0.409283968478	0.489583461121	0.423822469281	0.557777029144	0.871458832808	0.832807570978	0.907728706625	0.635717426395	0.590934890648	0.679483660052	0.682965762359	0.640918327195	0.723762770308
SF_UGENT_IBCN2	0.347114412136	0.296346328753	0.403169788732	0.266699141135	0.225261432269	0.311520734764	0.301053243685	0.262971362677	0.342234336246	0.345368222959	0.30016401591	0.392445588994	0.327276148778	0.282371544407	0.373338540548	0.308181046856	0.268067895738	0.35042303444
