system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto	micro-nd-p	micro-nd-r	micro-nd-f1	macro-nd-p	macro-nd-r	macro-nd-f1	micro-nd-p-loo	micro-nd-r-loo	micro-nd-f1-loo	macro-nd-p-loo	macro-nd-r-loo	macro-nd-f1-loo	micro-nd-p-lto	micro-nd-r-lto	micro-nd-f1-lto	macro-nd-p-lto	macro-nd-r-lto	macro-nd-f1-lto
KB_UMass_IESL1	0.27153284671532846	0.2085201793721973	0.23589093214965123	0.23362954374389702	0.2285225801033465	0.20715908427895724	0.27153284671532846	0.2085201793721973	0.23589093214965123	0.23362954374389702	0.2285225801033465	0.20715908427895724	0.030656934306569343	0.02402745995423341	0.026940346375881972	0.0252202516200939	0.02216839417154875	0.019305203332453783	0.2674591381872214	0.20179372197309417	0.23003194888178916	0.2356797462672857	0.22024882179015587	0.20344988352530957	0.2674591381872214	0.20179372197309417	0.23003194888178916	0.2356797462672857	0.22024882179015587	0.20344988352530957	0.2288261515601783	0.17559863169897377	0.19870967741935483	0.20485072892407286	0.1901199109736427	0.1763145586686016
SF_CIS1	0.47619047619047616	0.13452914798206278	0.20979020979020976	0.2387483967136964	0.2112285146702233	0.2016226500453631	0.47619047619047616	0.13452914798206278	0.20979020979020976	0.2387483967136964	0.2112285146702233	0.2016226500453631	0.06349206349206349	0.01893491124260355	0.02917046490428441	0.03015622652846627	0.024710830704521562	0.024803578825660862	0.5173913043478261	0.13340807174887892	0.2121212121212121	0.2545250228215527	0.20813982554467556	0.2099791988593251	0.5173913043478261	0.13340807174887892	0.2121212121212121	0.2545250228215527	0.20813982554467556	0.2099791988593251	0.46956521739130436	0.12735849056603774	0.20037105751391468	0.23751863278677152	0.19529806257350665	0.19602332648073978
SF_Stanford1	0.5280172413793104	0.27466367713004486	0.3613569321533923	0.33683159699517273	0.30576109296809856	0.2944431395824441	0.5237068965517241	0.27242152466367714	0.3584070796460177	0.33353986746561587	0.30240935795232554	0.2911267924175169	0.39439655172413796	0.20914285714285713	0.2733383121732636	0.24806390500884054	0.22946307952540174	0.22110662329614883	0.5251641137855579	0.26905829596412556	0.35581912527798365	0.33692657166496576	0.3024224232256433	0.2934146305561621	0.5251641137855579	0.26905829596412556	0.35581912527798365	0.33692657166496576	0.3024224232256433	0.2934146305561621	0.5142231947483589	0.2682648401826484	0.35258814703675917	0.33373169309561657	0.30229861331850266	0.29229000810279243
KB_BBN2	0.5222602739726028	0.3419282511210762	0.41327913279132794	0.38810457856199193	0.35751416563695	0.3426665065634799	0.5222602739726028	0.3419282511210762	0.41327913279132794	0.38810457856199193	0.35751416563695	0.3426665065634799	0.1267123287671233	0.08778173190984578	0.10371408549404344	0.11144081995817011	0.10701591083294554	0.1034122489256177	0.5164075993091537	0.3352017937219731	0.4065261726716519	0.3829921655631437	0.3487007829566624	0.3359927685573981	0.5164075993091537	0.3352017937219731	0.4065261726716519	0.3829921655631437	0.3487007829566624	0.3359927685573981	0.44905008635578586	0.3073286052009456	0.3649122807017544	0.3484247350966594	0.3254524139358992	0.3102334064207264
SF_StaRAI20154	0.07657657657657657	0.01905829596412556	0.030520646319569116	0.025475838567321225	0.03496319663512093	0.026959545886990698	0.06756756756756757	0.016835016835016835	0.026954177897574122	0.023973660408991633	0.03304791948325072	0.025742326373241205	0.0	0.0	0.0	0.0	0.0	0.0	0.11464968152866242	0.020179372197309416	0.03431839847473784	0.03286014721345953	0.03811777076761305	0.03401477597061194	0.10828025477707007	0.019079685746352413	0.03244274809160305	0.03180862250262885	0.037779780681988874	0.03349857293074959	0.09554140127388536	0.016910935738444193	0.028735632183908046	0.027602523659305992	0.03417455310199789	0.029713083971759046
KB_ICTCAS_OKN1	0.4074074074074074	0.01233183856502242	0.023939064200217627	0.028391167192429016	0.014781433077963048	0.018451755044814975	0.37037037037037035	0.011210762331838564	0.02176278563656148	0.026813880126182972	0.014330779630464183	0.017750738570927842	0.037037037037037035	0.0011210762331838565	0.0021762785636561476	0.0031545741324921117	0.0010515247108307054	0.0015772870662460559	0.4444444444444444	0.013452914798206279	0.02611534276387378	0.029179810725552043	0.015068212544553247	0.01887236492914725	0.4444444444444444	0.013452914798206279	0.02611534276387378	0.029179810725552043	0.015068212544553247	0.01887236492914725	0.37037037037037035	0.011210762331838564	0.02176278563656148	0.02602523659305993	0.013806382891556402	0.01706975113915176
KB_ICTCAS_OKN2	1.0	0.0033632286995515697	0.00670391061452514	0.009463722397476334	0.004656752290821693	0.005520504731861208	0.6666666666666666	0.002242152466367713	0.004469273743016759	0.006309148264984227	0.004206098843322823	0.004731861198738177	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.002242152466367713	0.004469273743016759	0.006309148264984227	0.004206098843322823	0.004731861198738177	0.6666666666666666	0.002242152466367713	0.004469273743016759	0.006309148264984227	0.004206098843322823	0.004731861198738177	0.6666666666666666	0.002242152466367713	0.004469273743016759	0.006309148264984227	0.004206098843322823	0.004731861198738177
SF_CIS4	0.29570552147239265	0.2701793721973094	0.2823667252489748	0.3113023515083735	0.3599270247770844	0.3009591331783378	0.294478527607362	0.26905829596412556	0.2811950790861161	0.3097250644421273	0.3567724506445928	0.2988560837566767	0.0392638036809816	0.0378698224852071	0.03855421686746988	0.04177079492536903	0.054967202443543126	0.043713838432952234	0.30609597924773024	0.2645739910313901	0.2838244137101623	0.3274692025332688	0.3556865010176338	0.3099675063524644	0.30479896238651105	0.26345291479820626	0.28262176788935656	0.32589191546702256	0.3525319268851416	0.3078644569308029	0.25810635538262	0.2346698113207547	0.2458307597282273	0.2882794467653952	0.3275066400107905	0.2777977255613036
SF_UWashington2	0.6172839506172839	0.05605381165919283	0.10277492291880781	0.11198738170347	0.07117771277402013	0.07743576516863823	0.6172839506172839	0.05605381165919283	0.10277492291880781	0.11198738170347	0.07117771277402013	0.07743576516863823	0.3333333333333333	0.030508474576271188	0.05590062111801242	0.05993690851735014	0.04395748835811926	0.045282775408958365	0.6233766233766234	0.053811659192825115	0.09907120743034055	0.11093585699263941	0.068128291112611	0.07554302068914295	0.6233766233766234	0.053811659192825115	0.09907120743034055	0.11093585699263941	0.068128291112611	0.07554302068914295	0.5974025974025974	0.0519774011299435	0.09563409563409563	0.10620399579390119	0.06681388522407261	0.07359018908331455
SF_Stanford2	0.5895765472312704	0.20291479820627803	0.30191826522101756	0.30489584898102257	0.2414922121661479	0.24573985320626815	0.5830618892508144	0.2006726457399103	0.29858215179316094	0.3009526313154074	0.23805085856706573	0.24216466918944382	0.3941368078175896	0.1382857142857143	0.20473773265651438	0.216615342246257	0.16850535619738968	0.1741759369286203	0.5907590759075908	0.2006726457399103	0.29958158995815903	0.30709028090731594	0.24180998062271822	0.24738958797903132	0.5907590759075908	0.2006726457399103	0.29958158995815903	0.30709028090731594	0.24180998062271822	0.24738958797903132	0.5742574257425742	0.19863013698630136	0.2951653944020356	0.30199539332031455	0.24156667927116512	0.2454058644379085
